                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0643,                 4.6108,                 1.3748,                0.90479,                0.66667,                0.88436,                0.69838,                 1.2691,                 1.3193,                 1.2462,                      0,                      0,                      0
                      2,                 1.2258,                 4.3168,                 1.6379,                0.94163,                0.66214,                 0.8859,                0.70037,                 1.2585,                 1.3332,                 1.2409,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0318,                 3.2521,                 1.2794,                0.94264,                0.66156,                 0.8842,                0.69991,                 1.2547,                 1.3533,                 1.2355,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2544,                 5.0008,                 1.4972,                 0.8448,                0.68956,                0.88421,                0.69959,                 1.2522,                 1.3791,                 1.2398,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.93611,                 3.1836,                 1.2503,                0.80539,                    0.7,                0.88264,                0.70707,                 1.2459,                 1.3944,                 1.2381,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.76567,                 3.1608,                 1.1907,                0.75552,                    0.7,                0.88367,                0.70743,                 1.2551,                  1.404,                 1.2397,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2717,                 4.9196,                 1.6632,                0.74469,                0.73333,                0.89015,                0.70704,                 1.2533,                 1.4057,                 1.2426,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1667,                 5.2206,                 1.7275,                0.68569,                0.73333,                0.89192,                0.70811,                 1.2291,                 1.4037,                 1.2315,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.2219,                 5.4786,                 1.6444,                0.90068,                0.62143,                0.89093,                0.70711,                 1.2168,                 1.4409,                 1.2263,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.3064,                 4.9873,                 1.6578,                0.89869,                0.62011,                0.89092,                0.70715,                 1.2111,                 1.4547,                 1.2238,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3897,                 5.2823,                 1.7148,                0.89545,                0.61724,                0.89093,                0.70447,                 1.2055,                 1.4521,                 1.2215,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.1104,                 3.0516,                 1.3378,                0.91683,                0.61335,                0.89092,                0.70706,                 1.2052,                 1.4711,                 1.2251,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.89682,                 3.3097,                 1.2433,                0.91728,                0.61217,                0.84758,                0.67827,                 1.1973,                 1.5037,                 1.2246,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0468,                 4.8266,                 1.5456,                0.91773,                0.61119,                0.83133,                0.66895,                 1.1828,                 1.5249,                 1.2206,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.0451,                 3.7455,                 1.3684,                0.92112,                 0.6111,                0.83263,                0.65423,                 1.1732,                 1.5394,                 1.2167,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.80187,                 2.6692,                 1.1877,                0.91981,                0.61242,                0.80322,                0.63381,                 1.1688,                 1.5397,                 1.2149,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.79859,                 3.3447,                  1.252,                 0.9204,                0.61267,                 0.8025,                0.62439,                  1.166,                 1.5558,                 1.2123,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.78546,                 2.4609,                 1.2793,                 0.9204,                0.61267,                 0.8025,                0.62439,                  1.166,                 1.5558,                 1.2123,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.97578,                 3.0375,                 1.2918,                0.92008,                0.61312,                0.80064,                0.62501,                 1.1532,                 1.5657,                 1.2115,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.63243,                 2.4287,                 1.1208,                0.92008,                0.61312,                0.80064,                0.62501,                 1.1532,                 1.5657,                 1.2115,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.81079,                 2.7656,                 1.2127,                 0.9237,                0.61365,                0.68823,                0.52526,                 1.1509,                 1.5878,                 1.2065,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 0.8973,                 2.2952,                 1.2037,                 0.9237,                0.61365,                0.68823,                0.52526,                 1.1509,                 1.5878,                 1.2065,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.67896,                  3.123,                 1.2415,                0.92228,                 0.6145,                0.68612,                0.52348,                  1.154,                 1.6253,                  1.211,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.69448,                  2.182,                 1.1936,                0.92228,                 0.6145,                0.68612,                0.52348,                  1.154,                 1.6253,                  1.211,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.66423,                 2.0728,                 1.1313,                0.92075,                0.61532,                0.67273,                0.50719,                   1.16,                 1.6268,                  1.212,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.0733,                  3.241,                 1.5888,                0.92075,                0.61532,                0.67273,                0.50719,                   1.16,                 1.6268,                  1.212,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.78152,                 2.9097,                 1.2977,                0.92314,                0.61505,                0.62907,                0.48484,                 1.1723,                 1.6127,                 1.2159,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.62518,                  2.294,                 1.2226,                0.92314,                0.61505,                0.62907,                0.48484,                 1.1723,                 1.6127,                 1.2159,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.88807,                 1.8665,                 1.2234,                0.92109,                0.61525,                0.62909,                0.47187,                  1.186,                  1.634,                  1.215,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 0.8551,                 1.6935,                 1.1588,                0.92109,                0.61525,                0.62909,                0.47187,                  1.186,                  1.634,                  1.215,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.85266,                 2.2726,                 1.1869,                0.92154,                 0.6151,                0.62901,                 0.4704,                 1.1895,                  1.653,                 1.2147,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.71342,                 1.9162,                 1.2171,                0.92154,                 0.6151,                0.62901,                 0.4704,                 1.1895,                  1.653,                 1.2147,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0486,                 3.2138,                 1.4828,                0.92204,                0.61536,                 0.6276,                0.46693,                 1.1889,                 1.6856,                 1.2167,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.74587,                 1.6584,                 1.1431,                0.92204,                0.61536,                 0.6276,                0.46693,                 1.1889,                 1.6856,                 1.2167,              2.644e-05,              2.644e-05,              2.644e-05
